ProductID,Date,Zip,Units,Revenue,Country
725,1/15/1999,H1B,1,115.4475,Canada
2235,1/15/1999,H1B,2,131.145,Canada
713,1/15/1999,H1B,1,160.0725,Canada
574,6/5/2002,H1B,1,869.1375,Canada
94,2/15/1999,H1B,1,866.25,Canada
609,2/15/1999,H1B,1,778.8375,Canada
2064,3/15/1999,H1B,2,976.395,Canada
714,1/15/1999,H1B,1,160.0725,Canada
826,5/31/2002,H1B,1,944.9475,Canada
2149,6/6/2002,H1B,2,871.395,Canada
992,2/15/1999,H1B,1,288.6975,Canada
726,1/15/1999,M4X,1,115.4475,Canada
725,1/15/1999,M4X,1,115.4475,Canada
910,3/15/1999,M4X,1,414.6975,Canada
727,1/15/1999,R3T,1,62.9475,Canada
1426,2/15/1999,R3T,1,286.02,Canada
1182,1/15/1999,R3T,1,157.4475,Canada
976,5/31/2002,R3T,1,314.9475,Canada
758,1/15/1999,R3T,1,83.9475,Canada
1112,2/15/1999,R3T,1,116.4975,Canada
1425,2/15/1999,R3T,1,286.02,Canada
740,1/15/1999,R3G,1,170.5725,Canada
604,1/15/1999,R3G,1,461.7375,Canada
726,1/15/1999,R3G,1,115.4475,Canada
758,1/15/1999,R3G,1,83.9475,Canada
1131,2/15/1999,R3G,1,419.9475,Canada
753,2/15/1999,R3G,1,244.0725,Canada
2234,2/15/1999,R3G,1,65.5725,Canada
739,1/15/1999,R3G,1,170.5725,Canada
768,1/15/1999,R3G,1,104.9475,Canada
725,1/15/1999,R3G,1,115.4475,Canada
728,1/15/1999,R3G,1,62.9475,Canada
757,1/15/1999,R3G,1,83.9475,Canada
1956,2/15/1999,R3G,2,307.545,Canada
606,2/15/1999,R3G,1,314.7375,Canada
754,2/15/1999,R3G,1,244.0725,Canada
2235,2/15/1999,R3G,1,65.5725,Canada
658,3/15/1999,R3G,1,902.7375,Canada
758,1/15/1999,M5P,1,83.9475,Canada
1110,1/15/1999,M5P,1,209.9475,Canada
663,1/15/1999,M5P,1,765.45,Canada
727,1/15/1999,M5P,1,62.9475,Canada
2277,3/15/1999,M5P,1,251.9475,Canada
1109,1/15/1999,M5P,1,209.9475,Canada
1120,1/15/1999,R3V,1,173.1975,Canada
786,5/31/2002,R3V,1,68.1975,Canada
2380,5/31/2002,R3V,1,293.9475,Canada
1990,1/15/1999,R3V,1,257.1975,Canada
1066,2/15/1999,R3V,1,296.5725,Canada
1426,1/15/1999,M5R,1,286.02,Canada
2064,2/15/1999,M5R,1,488.1975,Canada
796,3/15/1999,M5R,1,275.5725,Canada
1894,1/15/1999,M6G,1,682.2375,Canada
2234,1/15/1999,M6G,1,65.5725,Canada
599,2/15/1999,M6G,1,753.6375,Canada
475,1/15/1999,M6G,1,970.2,Canada
550,3/15/1999,M6G,1,403.9875,Canada
1974,1/15/1999,R3S,1,52.4475,Canada
2234,1/15/1999,R3N,1,65.5725,Canada
2254,1/15/1999,R3N,1,57.6975,Canada
990,2/15/1999,R3N,1,472.4475,Canada
2234,1/15/1999,L5P,2,131.145,Canada
1517,1/15/1999,L5P,1,141.645,Canada
658,5/31/2002,L5P,1,907.9875,Canada
769,2/15/1999,L5P,1,257.1975,Canada
491,1/15/1999,L5P,1,815.325,Canada
979,5/31/2002,L5P,1,393.6975,Canada
770,2/15/1999,L5P,1,257.1975,Canada
901,2/15/1999,L5P,1,409.4475,Canada
491,3/15/1999,L5P,1,815.325,Canada
2255,1/15/1999,M6H,2,115.395,Canada
990,4/9/2003,M6H,1,440.9475,Canada
989,2/15/1999,M6H,1,467.1975,Canada
1975,2/15/1999,M6H,1,52.4475,Canada
2388,3/15/1999,M6H,1,309.6975,Canada
2254,1/15/1999,M6H,2,115.395,Canada
93,6/6/2002,M6H,1,1039.5,Canada
609,3/15/1999,M6H,1,778.8375,Canada
604,1/15/1999,L5R,1,461.7375,Canada
443,6/4/2002,L5R,1,828.975,Canada
2012,3/15/1999,L5R,1,377.9475,Canada
992,1/15/1999,L5R,1,288.6975,Canada
2353,5/31/2002,L5R,1,414.6975,Canada
609,1/15/1999,R3X,1,778.8375,Canada
767,1/15/1999,R3X,1,104.9475,Canada
2331,2/15/1999,R3X,1,535.4475,Canada
2055,5/31/2002,R3X,1,569.5725,Canada
2331,5/31/2002,R3X,1,540.6975,Canada
768,1/15/1999,R3X,1,104.9475,Canada
823,2/15/1999,R3X,1,619.4475,Canada
631,1/15/1999,M7Y,1,346.2375,Canada
1014,1/15/1999,M7Y,1,86.5725,Canada
195,1/15/1999,M7Y,1,750.225,Canada
726,2/15/1999,M7Y,1,115.4475,Canada
550,2/15/1999,M7Y,1,403.9875,Canada
936,3/15/1999,M7Y,1,498.6975,Canada
901,2/15/1999,M7Y,1,409.4475,Canada
2016,2/15/1999,M7Y,1,299.1975,Canada
740,1/15/1999,M4V,1,170.5725,Canada
1229,1/15/1999,M4V,1,236.1975,Canada
838,1/15/1999,M4V,1,944.9475,Canada
2255,2/15/1999,M4V,1,57.6975,Canada
753,1/15/1999,R3H,1,244.0725,Canada
762,4/10/2003,R3H,1,173.1975,Canada
727,1/15/1999,R3H,1,68.1975,Canada
725,2/15/1999,R3H,1,115.4475,Canada
1329,2/15/1999,R3H,1,92.82,Canada
1960,3/15/1999,R3H,1,97.0725,Canada
1066,3/15/1999,R3H,1,296.5725,Canada
1975,3/15/1999,R3H,1,52.4475,Canada
604,1/15/1999,R3H,1,461.7375,Canada
1086,6/5/2002,R3H,1,84,Canada
467,6/5/2002,R3H,1,900.6375,Canada
1085,6/5/2002,R3H,1,84,Canada
2407,2/15/1999,R3H,1,73.4475,Canada
726,2/15/1999,R3H,1,115.4475,Canada
1330,2/15/1999,R3H,1,92.82,Canada
599,3/15/1999,R3H,1,753.6375,Canada
758,1/15/1999,K1N,1,83.9475,Canada
757,1/15/1999,K1N,1,83.9475,Canada
2255,2/15/1999,K1N,1,57.6975,Canada
599,1/15/1999,K1N,1,753.6375,Canada
2254,2/15/1999,K1N,1,57.6975,Canada
767,1/15/1999,R3W,1,104.9475,Canada
768,1/15/1999,R3W,1,104.9475,Canada
726,5/31/2002,R3W,1,120.6975,Canada
914,2/15/1999,R3W,1,577.4475,Canada
1111,1/15/1999,M5X,1,116.4975,Canada
2388,3/15/1999,M5X,1,309.6975,Canada
1926,5/31/2002,M5X,1,99.6975,Canada
2234,1/15/1999,M5X,1,65.5725,Canada
681,1/15/1999,M5X,1,629.7375,Canada
1894,1/15/1999,L5N,1,682.2375,Canada
910,5/31/2002,L5N,1,430.4475,Canada
2234,1/15/1999,L5N,1,65.5725,Canada
769,2/15/1999,L5N,1,257.1975,Canada
1225,2/15/1999,L5N,1,236.1975,Canada
2050,3/15/1999,L5N,1,498.6975,Canada
2056,3/15/1999,L5N,1,325.4475,Canada
2277,3/15/1999,L5N,2,503.895,Canada
976,5/31/2002,L5N,1,314.9475,Canada
726,5/31/2002,L5N,1,120.6975,Canada
964,5/31/2002,L5N,1,320.1975,Canada
2359,6/6/2002,L5N,1,430.4475,Canada
1188,6/7/2002,L5N,1,461.9475,Canada
767,2/15/1999,L5N,2,209.895,Canada
1185,2/15/1999,L5N,1,419.9475,Canada
2373,3/15/1999,L5N,1,551.1975,Canada
1949,1/15/1999,K1R,1,296.5725,Canada
1948,1/15/1999,K1R,1,296.5725,Canada
491,3/15/1999,K1R,1,815.325,Canada
1450,1/15/1999,K1R,1,118.02,Canada
964,5/31/2002,K1R,1,330.6975,Canada
491,1/15/1999,K1R,1,815.325,Canada
2235,1/15/1999,L4Y,1,65.5725,Canada
606,1/15/1999,M5L,1,314.7375,Canada
1927,5/31/2002,M5L,1,99.6975,Canada
2005,6/3/2002,M5L,1,307.0725,Canada
1974,5/31/2002,M5L,1,57.6975,Canada
1926,5/31/2002,M5L,1,99.6975,Canada
396,1/15/1999,M5L,2,1714.125,Canada
574,5/31/2002,M4E,1,869.1375,Canada
609,5/31/2002,M4E,1,829.2375,Canada
2056,6/5/2002,M4E,1,330.6975,Canada
604,3/15/1999,M4E,2,923.475,Canada
990,3/15/1999,M4E,1,503.9475,Canada
2056,2/15/1999,M4E,1,325.4475,Canada
901,3/15/1999,M4E,1,409.4475,Canada
2374,5/31/2002,M4N,1,661.4475,Canada
2054,5/31/2002,M4N,2,1091.895,Canada
1173,1/15/1999,L5G,1,524.9475,Canada
962,2/15/1999,L5G,1,524.9475,Canada
609,2/15/1999,L5G,1,778.8375,Canada
1203,6/5/2002,R2Y,1,320.1975,Canada
2277,2/15/1999,M6S,1,251.9475,Canada
1449,1/15/1999,M6S,1,118.02,Canada
2279,2/15/1999,R3E,1,165.3225,Canada
1330,2/15/1999,R3E,1,92.82,Canada
681,3/15/1999,R3E,1,629.7375,Canada
768,3/15/1999,R3E,1,104.9475,Canada
753,2/15/1999,R3E,1,244.0725,Canada
475,3/15/1999,R3E,1,970.2,Canada
599,3/15/1999,R3E,1,753.6375,Canada
1003,2/15/1999,K1A,1,86.5725,Canada
400,2/15/1999,K1A,1,683.8125,Canada
2045,2/15/1999,K1P,1,409.4475,Canada
2255,3/15/1999,K1P,1,57.6975,Canada
2284,2/15/1999,K1Y,1,293.9475,Canada
491,1/15/1999,K1Y,1,815.325,Canada
2277,2/15/1999,K1Y,1,251.9475,Canada
2388,2/15/1999,K1K,1,309.6975,Canada
559,2/15/1999,K1K,1,585.6375,Canada
2407,2/15/1999,R3B,1,73.4475,Canada
1975,3/15/1999,R3B,1,52.4475,Canada
683,1/15/1999,R3B,1,788.025,Canada
990,2/15/1999,M4R,1,482.9475,Canada
910,5/31/2002,M4R,1,430.4475,Canada
580,2/15/1999,M4M,1,734.7375,Canada
1957,3/15/1999,R3M,1,153.7725,Canada
981,3/15/1999,R3M,1,167.9475,Canada
992,5/31/2002,R3M,1,278.1975,Canada
797,1/15/1999,R3M,1,301.8225,Canada
488,3/15/1999,M4S,1,970.2,Canada
964,5/31/2002,M4S,1,330.6975,Canada
989,3/15/1999,L4V,1,451.4475,Canada
1166,3/15/1999,L5T,1,535.4475,Canada
599,1/15/1999,L5T,1,753.6375,Canada
580,3/15/1999,L5T,1,734.7375,Canada
1173,2/15/1999,R2V,1,524.9475,Canada
2388,6/5/2002,R2W,1,309.6975,Canada
901,3/15/1999,R2W,1,409.4475,Canada
2047,2/15/1999,R3C,1,377.9475,Canada
